Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2016 12:00:00 AM,Central,F,60 to 69,27693,3733,13.48
01/01/2016 12:00:00 AM,Central,F,70 to 79,16059,2144,13.35
01/01/2016 12:00:00 AM,Central,F,80 +,10830,1039,9.59
01/01/2016 12:00:00 AM,Central,M,0 to 9,22064,1468,6.65
01/01/2016 12:00:00 AM,Central,M,10 to 19,22606,4760,21.06
01/01/2016 12:00:00 AM,Central,M,20 to 29,30190,6342,21.01
01/01/2016 12:00:00 AM,Central,M,30 to 39,30958,3343,10.8
01/01/2016 12:00:00 AM,Central,M,40 to 49,30774,2302,7.48
01/01/2016 12:00:00 AM,Central,M,50 to 59,34501,2445,7.09
01/01/2016 12:00:00 AM,Central,M,60 to 69,25736,1819,7.07
01/01/2016 12:00:00 AM,Central,M,70 to 79,14115,1029,7.29
01/01/2016 12:00:00 AM,Central,M,80 +,6782,466,6.87
01/01/2016 12:00:00 AM,Eastern,F,0 to 9,6788,342,5.04
01/01/2016 12:00:00 AM,Eastern,F,10 to 19,7847,1237,15.76
01/01/2016 12:00:00 AM,Eastern,F,20 to 29,8610,1664,19.33
01/01/2016 12:00:00 AM,Eastern,F,30 to 39,8809,1084,12.31
01/01/2016 12:00:00 AM,Eastern,F,40 to 49,10056,1024,10.18
01/01/2016 12:00:00 AM,Eastern,F,50 to 59,13702,1300,9.49
01/01/2016 12:00:00 AM,Eastern,F,60 to 69,13365,1355,10.14
01/01/2016 12:00:00 AM,Eastern,F,70 to 79,8449,848,10.04
01/01/2016 12:00:00 AM,Eastern,F,80 +,5942,430,7.24
01/01/2016 12:00:00 AM,Eastern,M,0 to 9,7151,499,6.98
01/01/2016 12:00:00 AM,Eastern,M,10 to 19,8177,1754,21.45
01/01/2016 12:00:00 AM,Eastern,M,20 to 29,9129,2100,23
01/01/2016 12:00:00 AM,Eastern,M,30 to 39,8947,891,9.96
01/01/2016 12:00:00 AM,Eastern,M,40 to 49,10156,648,6.38
01/01/2016 12:00:00 AM,Eastern,M,50 to 59,13087,740,5.65
01/01/2016 12:00:00 AM,Eastern,M,60 to 69,13115,713,5.44
01/01/2016 12:00:00 AM,Eastern,M,70 to 79,7752,466,6.01
01/01/2016 12:00:00 AM,Eastern,M,80 +,3630,224,6.17
01/01/2016 12:00:00 AM,Northern,F,0 to 9,7039,306,4.35
01/01/2016 12:00:00 AM,Northern,F,10 to 19,7898,1228,15.55
01/01/2016 12:00:00 AM,Northern,F,20 to 29,8318,1541,18.53
01/01/2016 12:00:00 AM,Northern,F,30 to 39,8849,1175,13.28
01/01/2016 12:00:00 AM,Northern,F,40 to 49,10571,1282,12.13
01/01/2016 12:00:00 AM,Northern,F,50 to 59,12904,1371,10.62
01/01/2016 12:00:00 AM,Northern,F,60 to 69,11839,1311,11.07
